,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,senid,name,type,date,init01,init02,m01,m02,c01,c02,c03,c04,pc01,pc02,gf01,gf02,gf03,gf04,gf05,gf06,logger1_pos1,logger1_pos2,logger2_pos1,logger2_pos2,logger3_pos1,logger3_pos2
55,55,55,55,55,55,55,55,55,55,88,SG0006,SC-6,SG,2020-01-01 1:00,4107.17,9.5,1967.64,-1.24,12.928,165.091,-152.163,0.0,12.928,165.091,-0.072839,-0.33943,999999.0,0.0,0.0,0.0,0.0,0.0,14.0,83.0,0.0,0.0
56,56,56,56,56,56,56,56,56,56,89,SG0007,SC-7,SG,2020-01-01 1:00,4008.0,9.4,1984.078,-10.968,0.931,11.889,-10.958,0.0,0.931,11.889,-0.075183,-0.33983,999999.0,0.0,0.0,0.0,0.0,0.0,15.0,84.0,0.0,0.0
57,57,57,57,57,57,57,57,57,57,90,SG0008,SC-8,SG,2020-01-01 1:00,4140.41,10.2,1968.751,-8.683,15.609,199.327,-183.718,0.0,15.609,199.327,-0.075667,-0.34523,999999.0,0.0,0.0,0.0,0.0,0.0,16.0,85.0,0.0,0.0
58,58,58,58,58,58,58,58,58,58,91,SG0009,SC-9,SG,2020-01-01 1:00,4052.5,5.2,1972.94,-21.531,7.787,99.44,-91.653,0.0,7.787,99.44,-0.076624,-0.31058,999999.0,0.0,0.0,0.0,0.0,0.0,40.0,109.0,0.0,0.0
59,59,59,59,59,59,59,59,59,59,92,EP1001,EP-10C,EP_,2020-06-29 10:00,3635.55,12.1,1815.509,1.075,4.644,0.0,0.0,0.0,4.644,0.0,-1.3415,-0.545,999999.0,0.0,0.0,0.0,0.0,0.0,12.0,81.0,0.0,0.0
60,60,60,60,60,60,60,60,60,60,93,EP1002,EP-10D,EP_,2020-06-29 10:00,3067.78,6.7,1682.832,0.659,3.291,0.0,0.0,0.0,3.291,0.0,-1.3683,-0.47037,999999.0,0.0,0.0,0.0,0.0,0.0,13.0,82.0,0.0,0.0
61,61,61,61,61,61,61,61,61,61,94,EP1003,EP-10U,EP_,2020-06-29 10:00,3507.59,14.1,1821.947,2.178,2.574,0.0,0.0,0.0,2.574,0.0,-1.3422,-0.65432,999999.0,0.0,0.0,0.0,0.0,0.0,11.0,80.0,0.0,0.0
62,62,62,62,62,62,62,62,62,62,95,EP1101,EP-11C,EP_,2020-06-29 10:00,3570.11,10.9,1849.154,-7.738,2.056,0.0,0.0,0.0,2.056,0.0,-1.3375,-0.29258,999999.0,0.0,0.0,0.0,0.0,0.0,35.0,104.0,0.0,0.0
63,63,63,63,63,63,63,63,63,63,96,EP1102,EP-11D,EP_,2020-06-29 10:00,3787.25,13.2,1914.311,3.141,1.645,0.0,0.0,0.0,1.645,0.0,-1.3149,-0.88757,999999.0,0.0,0.0,0.0,0.0,0.0,36.0,105.0,0.0,0.0
64,64,64,64,64,64,64,64,64,64,97,EP1103,EP-11U,EP_,2020-06-29 10:00,3765.65,11.3,405.703,-12.894,51.904,0.0,0.0,0.0,51.904,0.0,-1.4135,-0.72443,999999.0,0.0,0.0,0.0,0.0,0.0,34.0,103.0,0.0,0.0
